"moe_id","name","lat","lon","parameter","label","unit_id","canon","units"
"OW035","OBS WELL 035 - Stump Lake",50.39353,-120.32752,"SGWL","Working",306,"GW","m"
"OW047","OBS WELL 047 - Silver Star Mountain",49.92197,-119.44122,"SGWL","Working",306,"GW","m"
"OW115","OBS WELL 115 - Graystokes Provincial Park",49.94642,-118.94698,"SGWL","Working",306,"GW","m"
"OW117","OBS WELL 117 - Armstrong",50.427103,-119.227723,"SGWL","Working",306,"GW","m"
"OW118","OBS WELL 118 - Armstrong",50.471616,-119.131593,"SGWL","Working",306,"GW","m"
"OW122","OBS WELL 122 - Enderby",50.507359,-119.129053,"SGWL","Working",306,"GW","m"
"OW154","OBS WELL 154 - Summerland",49.57765,-119.63526,"SGWL","Working",306,"GW","m"
"OW172","OBS WELL 172 - Oyama",50.111364,-119.356336,"SGWL","Working",306,"GW","m"
"OW180","OBS WELL 180 - Armstrong",50.403154,-119.216609,"SGWL","Working",306,"GW","m"
"OW185","OBS WELL 185 - Salmon River Valley",50.510924,-119.354275,"SGWL","Working",306,"GW","m"
"OW203","OBS WELL 203 - Cawston",49.17459,-119.73606,"SGWL","Working",306,"GW","m"
"OW236","OBS WELL 236 - Rutland",49.879083,-119.399573,"SGWL","Working",306,"GW","m"
"OW262","OBS WELL 262 - Kelowna",49.860097,-119.421006,"SGWL","Working",306,"GW","m"
"OW264","OBS WELL 264 - Mt Kobau",49.11888,-119.67838,"SGWL","Working",306,"GW","m"
"OW282","OBS WELL 282 - Willowbrook",49.26313,-119.59171,"SGWL","Working",306,"GW","m"
"OW332","OBS WELL 332 - Oliver",49.137819,-119.569162,"SGWL","Working",306,"GW","m"
"OW356","OBS WELL 356 - Winfield",50.008442,-119.3918,"SGWL","Working",306,"GW","m"
"OW401","OBS WELL 401 - Osoyoos",49.023341,-119.363599,"SGWL","Working",306,"GW","m"
"OW402","OBS WELL 402 - Osoyoos",49.030404,-119.347269,"SGWL","Working",306,"GW","m"
"OW405","OBS WELL 405 - Oliver",49.16931,-119.5639,"SGWL","Working",306,"GW","m"
"OW407","OBS WELL 407 - Oliver",49.21599,-119.54109,"SGWL","Working",306,"GW","m"
"OW411","OBS WELL 411 - West Kelowna",49.83667,-119.68638,"SGWL","Working",306,"GW","m"
"OW412","OBS WELL 412 - Summerland",49.734442,-120.156664,"SGWL","Working",306,"GW","m"
"OW413","OBS WELL 413 - Kelowna",49.856567,-119.39871,"SGWL","Working",306,"GW","m"
"OW442","OBS WELL 442 - Kelowna",49.950925,-119.365802,"SGWL","Working",306,"GW","m"
"OW506","OBS WELL 506 - Okanagan River",49.24813,-119.52476,"SGWL","Working",306,"GW","m"
